name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Trinity Rodman,94,81,77,83,43,83,84,4,4,"RM,RW,ST",QUICK STEP,"RELENTLESS,TRIVELA,TRICKSTER,FLAIR,FINESSE SHOT,RAPID",High,Medium
Luis Alberto,69,77,85,84,62,58,84,4,3,CM,INCISIVE PASS,"TRIVELA,FIRST TOUCH,FINESSE SHOT",Medium,Medium
Alessia Russo,82,82,68,84,39,72,84,3,3,"ST,CAM,CF",None,"AERIAL,FIRST TOUCH,POWER HEADER,FINESSE SHOT,RAPID",Medium,Medium
Leroy Sané,91,81,80,85,38,68,84,4,2,"RM,RW,LM",None,"QUICK STEP,POWER SHOT,FLAIR,RAPID",Medium,Medium
Desiree Scott,64,54,70,75,83,85,84,3,3,CDM,None,-,Medium,High
Bremer,80,50,56,65,85,83,84,2,2,CB,None,"POWER HEADER,BRUISER,AERIAL,BLOCK",Medium,High
Milan Škriniar,78,41,57,67,86,83,84,2,3,CB,None,"JOCKEY,BRUISER",Low,High
Chris Smalling,62,47,58,62,87,82,84,2,3,CB,None,"POWER HEADER,AERIAL",Medium,High
Georgia Stanway,80,79,80,85,76,75,84,3,3,"CDM,CM",PINGED PASS,"TECHNICAL,JOCKEY,FIRST TOUCH,LONG BALL PASS,FLAIR",High,High
Niklas Süle,73,51,68,62,85,85,84,3,3,"CB,RB",SLIDE TACKLE,"BRUISER,AERIAL,PINGED PASS,ANTICIPATE",Medium,Medium
Aurélien Tchouaméni,73,69,79,78,81,81,84,3,3,"CDM,CM",None,"INTERCEPT,AERIAL,ANTICIPATE,RELENTLESS,JOCKEY,BRUISER,LONG BALL PASS",Medium,High
Fikayo Tomori,86,40,59,66,86,82,84,2,4,CB,None,BLOCK,Medium,High
Marta Torrejón,64,54,76,73,85,74,84,2,3,"RB,CB,RWB",None,"POWER HEADER,ANTICIPATE",High,High
Marta,72,82,85,88,44,74,84,5,4,"RM,CAM",FLAIR,"TECHNICAL,ACROBATIC,TRIVELA,FIRST TOUCH,TRICKSTER",High,Medium
Kyle Walker,90,63,77,78,79,81,84,3,2,"RB,RWB",None,"JOCKEY,LONG THROW,RAPID",High,High
Caroline Weir,72,83,84,84,74,67,84,4,4,"CM,CAM",None,"TECHNICAL,CHIP SHOT,FIRST TOUCH,TRIVELA,TRICKSTER,INCISIVE PASS",High,High
Francesco Acerbi,60,50,64,64,86,80,83,3,3,CB,None,"AERIAL,LONG BALL PASS,BRUISER,BLOCK",Medium,High
Rasheedat Ajibade,88,83,70,84,37,76,83,4,4,"ST,LW,CF",None,"QUICK STEP,RELENTLESS,TRICKSTER,FLAIR,RAPID",High,Medium
Jordi Alba,84,70,82,81,76,70,83,3,3,"LB,LWB",None,"JOCKEY,BLOCK,ANTICIPATE,RAPID",High,Medium
Marco Asensio,81,81,81,83,43,63,83,4,3,"RM,RW",None,"INCISIVE PASS,WHIPPED PASS",High,Medium
Wissam Ben Yedder,80,84,78,87,39,68,83,4,5,"ST,CF",CHIP SHOT,"TRIVELA,TIKI TAKA,TECHNICAL,FLAIR",High,Low
Hannah Blundell,71,54,72,72,83,72,83,2,4,"RB,LB,LWB",None,"BRUISER,ANTICIPATE",High,Medium
Barbara Bonansea,79,81,75,86,29,74,83,4,5,"RM,RW,LW",None,"TECHNICAL,QUICK STEP,FLAIR",High,Medium
Sven Botman,65,37,63,66,84,84,83,2,3,CB,None,"JOCKEY,LONG BALL PASS,BRUISER",Medium,High
Mathilde Bourdieu,80,84,71,82,36,74,83,3,4,"ST,CF",None,"ACROBATIC,TRIVELA,FIRST TOUCH,POWER SHOT,PRESS PROVEN",High,Medium
Marcelo Brozović,66,74,81,80,80,78,83,3,4,CDM,None,"LONG BALL PASS,PRESS PROVEN,RELENTLESS",Medium,Medium
Klara Bühl,82,85,77,83,34,69,83,4,4,"LW,LM,CAM",None,"JOCKEY,INCISIVE PASS,WHIPPED PASS,FINESSE SHOT,PRESS PROVEN",High,Medium
Sergio Busquets,37,62,79,79,81,73,83,3,3,CDM,None,"INCISIVE PASS,LONG BALL PASS,PRESS PROVEN,ANTICIPATE",Medium,Medium
Emre Can,79,78,77,79,82,87,83,3,4,"CB,CDM",None,"INTERCEPT,AERIAL,BRUISER,SLIDE TACKLE,PINGED PASS,LONG BALL PASS,PRESS PROVEN",Medium,High
Ellie Carpenter,81,51,78,77,81,78,83,3,3,"RB,RWB",None,"LONG THROW,BLOCK",High,Low
Arianna Caruso,74,79,82,87,70,72,83,4,3,"RM,CM,CAM",None,"FIRST TOUCH,INCISIVE PASS,TECHNICAL,FLAIR",High,High
Steph Catley,85,66,80,78,78,76,83,3,2,"LB,LWB,LW",None,"WHIPPED PASS,QUICK STEP,RAPID",High,High
Andreas Christensen,67,32,68,71,85,76,83,2,3,CB,None,-,Low,Medium
Erin Cuthbert,78,80,81,82,75,69,83,4,3,"CM,CDM",None,"ANTICIPATE,RELENTLESS,TRIVELA,PINGED PASS,POWER SHOT,WHIPPED PASS,PRESS PROVEN",High,Medium
Ludmila,87,81,69,84,38,79,83,3,3,"RW,ST,CF",None,"AERIAL,POWER SHOT,FLAIR,RAPID",High,Medium
Sergi Darder,81,76,82,83,74,77,83,3,3,"CAM,CM,CDM",None,"PINGED PASS,POWER SHOT,INCISIVE PASS,LONG BALL PASS,FINESSE SHOT,FLAIR,PRESS PROVEN",Medium,Medium
Alphonso Davies,95,66,78,84,74,77,83,4,4,"LB,LM,LWB",QUICK STEP,RAPID,High,Low
Ángel Di María,78,78,86,89,48,67,83,5,2,"RM,RW,CF,ST",TRICKSTER,"TECHNICAL,CHIP SHOT,TRIVELA,INCISIVE PASS,FLAIR,FINESSE SHOT",High,Medium
Sara Doorsoun,76,58,74,76,85,78,83,2,3,CB,None,"LONG BALL PASS,QUICK STEP,BLOCK",Low,High
Edin Džeko,59,84,72,77,45,76,83,3,5,"ST,CF",None,"ACROBATIC,TECHNICAL,FINESSE SHOT",High,Medium
Christian Eriksen,59,77,89,81,51,53,83,4,5,"CM,CDM",INCISIVE PASS,"WHIPPED PASS,LONG BALL PASS,DEAD BALL,FLAIR",Medium,Medium
Magdalena Eriksson,64,46,72,66,85,81,83,2,3,"CB,LB",None,"AERIAL,BLOCK,ANTICIPATE",Medium,High
Nabil Fekir,82,81,81,86,39,80,83,4,4,CAM,None,"TECHNICAL,FIRST TOUCH,POWER SHOT,TRIVELA,FLAIR,FINESSE SHOT,DEAD BALL",High,Medium
Enzo Fernández,73,73,81,80,75,79,83,3,4,"CM,CDM",None,"RELENTLESS,FIRST TOUCH,SLIDE TACKLE,TRIVELA,LONG BALL PASS,FLAIR,PRESS PROVEN",High,High
Nacho Fernández,75,37,69,71,82,80,83,2,4,"CB,LB,RB",None,"INTERCEPT,AERIAL,BLOCK",Low,High
Rafa,93,77,77,86,50,54,83,4,3,"RM,CF,ST",None,"QUICK STEP,ACROBATIC,TRIVELA,FIRST TOUCH,FLAIR,RAPID",High,Medium
Jorginho,53,67,84,81,74,73,83,3,3,"CDM,CM",None,"ANTICIPATE,FIRST TOUCH,PINGED PASS,INCISIVE PASS,PRESS PROVEN",Medium,Medium
Pau Torres,72,38,68,70,84,81,83,2,3,CB,None,"POWER HEADER,LONG BALL PASS",Medium,High
Laura Freigang,81,84,72,81,26,72,83,4,3,"ST,CAM",None,"JOCKEY,PRESS PROVEN,FIRST TOUCH,FLAIR",High,Low
Jeremie Frimpong,94,56,75,84,74,70,83,3,3,"RM,RB,RWB",None,"QUICK STEP,RAPID,FLAIR",High,Medium
Cody Gakpo,85,82,78,84,42,73,83,4,4,"CF,LW,ST",None,"TRIVELA,TECHNICAL,QUICK STEP,FINESSE SHOT",Medium,Medium
Leah Galton,73,82,82,82,60,79,83,4,3,"LW,LM,CAM",None,"AERIAL,TRIVELA,RAPID",High,Medium
Vanessa Gilles,62,38,53,53,86,81,83,2,3,CB,None,"POWER HEADER,AERIAL,BLOCK,ANTICIPATE",High,Medium
José María Giménez,71,46,58,61,85,82,83,2,3,CB,None,"POWER HEADER,AERIAL,SLIDE TACKLE",Medium,High
Alex Greenwood,70,64,79,74,84,81,83,2,3,"CB,LB",BLOCK,"JOCKEY,LONG BALL PASS,AERIAL",Medium,High
Giulia Gwinn,80,59,77,84,80,69,83,3,3,"RB,LB,LWB",None,"JOCKEY,FIRST TOUCH,RAPID,ANTICIPATE",High,High
Sébastien Haller,62,81,63,76,52,81,83,3,3,"ST,CF",None,"POWER HEADER,ACROBATIC,AERIAL,FLAIR",Medium,Medium
Marina Hegering,66,51,64,71,84,80,83,3,3,CB,None,"LONG BALL PASS,PRESS PROVEN",High,Medium
Jonas Hofmann,76,79,83,81,64,73,83,3,4,"RM,LM,CAM",None,"TECHNICAL,RELENTLESS,INCISIVE PASS,WHIPPED PASS,DEAD BALL",High,Medium
Mats Hummels,53,58,76,70,86,78,83,2,3,CB,INTERCEPT,"AERIAL,ANTICIPATE,JOCKEY,TRIVELA,LONG BALL PASS",Medium,Medium
Borja Iglesias,69,84,66,76,40,82,83,3,3,"ST,CF",None,"TRIVELA,FINESSE SHOT",High,Medium
Lauren James,87,78,80,85,28,80,83,5,4,"CAM,RM,RW,ST",RAPID,"QUICK STEP,FIRST TOUCH,TRICKSTER,WHIPPED PASS,LONG BALL PASS,FLAIR",High,Low
Dominique Janssen,78,59,75,75,83,80,83,2,5,"CB,LB",None,"AERIAL,LONG BALL PASS,QUICK STEP,BLOCK",Medium,Medium
Meghan Klingenberg,77,54,74,78,82,79,83,3,3,"RB,LB,LWB",None,"LONG THROW,WHIPPED PASS,FLAIR",High,High
Filip Kostić,85,76,82,82,70,80,83,3,2,"LM,LW",None,"INCISIVE PASS,RAPID,WHIPPED PASS",High,High
Racheal Kundananji,91,82,69,83,40,87,83,4,5,"ST,CF",None,"TECHNICAL,QUICK STEP,RELENTLESS,CHIP SHOT,AERIAL,FIRST TOUCH,TRIVELA",High,Medium
Alexandre Lacazette,72,84,77,83,44,77,83,4,4,"ST,CF",None,"TECHNICAL,FINESSE SHOT",High,High
Konrad Laimer,80,69,77,78,81,79,83,3,3,"CDM,CM",BLOCK,"INCISIVE PASS,BRUISER,SLIDE TACKLE,RELENTLESS",Medium,High
Gianluca Mancini,67,45,54,62,83,86,83,2,3,CB,None,"POWER HEADER,BRUISER,SLIDE TACKLE",Medium,High
Dzsenifer Marozsán,74,81,85,86,57,74,83,5,4,"CM,CAM",None,"TRIVELA,FIRST TOUCH,POWER SHOT,PRESS PROVEN,DEAD BALL",High,Low
Griedge Mbock,63,55,66,65,85,81,83,2,3,CB,None,"INTERCEPT,AERIAL",Medium,High
Morata,82,82,72,79,31,79,83,3,4,"ST,CF",None,"RAPID,FINESSE SHOT",Medium,Medium
Gerard Moreno,77,85,77,81,46,72,83,3,4,"RM,ST,CF",None,"TRIVELA,POWER SHOT,FINESSE SHOT",High,Medium
Katharina Naschenweng,77,50,77,79,82,74,83,3,3,"LB,LM,LWB",None,"JOCKEY,LONG BALL PASS,BLOCK,FLAIR",High,High
Kelley O'Hara,84,56,73,76,81,75,83,3,3,"RB,LB,RWB",None,"LONG THROW,WHIPPED PASS,RAPID",Medium,High
Dani Olmo,68,76,82,86,50,59,83,4,4,"CF,CAM",None,"TECHNICAL,FIRST TOUCH,TRIVELA,INCISIVE PASS,FLAIR,TIKI TAKA",Medium,High
Willi Orban,58,36,56,56,85,81,83,2,3,CB,None,"POWER HEADER,LONG BALL PASS,ANTICIPATE",Low,Medium
Oyarzabal,77,83,80,83,41,62,83,3,3,"RM,LM,LW",None,"TRIVELA,TECHNICAL,FINESSE SHOT",High,Medium
Gavi,76,66,78,85,68,70,83,3,3,"CM,LW",None,"TIKI TAKA,SLIDE TACKLE,RAPID,RELENTLESS",High,High
Palhinha,62,67,71,76,84,89,83,2,4,"CDM,CM",BRUISER,"LONG BALL PASS,SLIDE TACKLE",Medium,High
Benjamin Pavard,70,62,73,72,85,78,83,3,3,"CB,RB",None,"INTERCEPT,JOCKEY,SLIDE TACKLE,ANTICIPATE",Medium,Medium
Lorenzo Pellegrini,79,76,83,83,74,78,83,3,4,"CM,CAM,CF",None,"INCISIVE PASS,RELENTLESS,TRIVELA,FINESSE SHOT",High,High
Claudia Pina,73,82,81,82,45,68,83,4,5,"LW,CM,CAM",None,"TRIVELA,INCISIVE PASS,FLAIR,FINESSE SHOT,TIKI TAKA",High,Medium
Lara Prašnikar,75,84,69,83,44,75,83,3,4,"ST,CF",None,"INCISIVE PASS,TECHNICAL,FIRST TOUCH",High,Medium
Christen Press,84,83,80,84,46,75,83,4,3,"ST,CF",None,"TECHNICAL,QUICK STEP,FIRST TOUCH,POWER SHOT,TRICKSTER,FLAIR",High,Medium
Mayra Ramírez,89,83,75,85,33,86,83,4,3,"ST,CF",None,"TECHNICAL,QUICK STEP,RELENTLESS,AERIAL,FIRST TOUCH,FINESSE SHOT",High,Medium
Felicitas Rauch,80,51,71,76,81,76,83,3,3,"LB,LWB",None,"INTERCEPT,BRUISER",High,High
Marco Reus,65,83,83,85,53,63,83,4,4,"CF,CAM",CHIP SHOT,"TECHNICAL,FIRST TOUCH,TRIVELA,WHIPPED PASS,FLAIR,FINESSE SHOT",Medium,Medium
Guido Rodríguez,51,58,72,70,85,80,83,2,4,CDM,None,"ANTICIPATE,BRUISER,TRIVELA,SLIDE TACKLE,TIKI TAKA",Medium,High
Alessio Romagnoli,69,40,56,69,85,80,83,2,3,CB,None,AERIAL,Medium,Medium
Martina Rosucci,74,70,80,83,79,76,83,4,3,"CB,CDM,CM",None,"TECHNICAL,SLIDE TACKLE,FLAIR",High,Medium
William Saliba,82,39,69,73,84,82,83,2,3,CB,None,"POWER HEADER,JOCKEY,ANTICIPATE",Medium,High
Patrik Schick,79,80,71,81,37,76,83,4,3,"ST,CF",None,"TECHNICAL,ACROBATIC,POWER HEADER,FLAIR,FINESSE SHOT",Medium,Medium
Nico Schlotterbeck,78,58,67,73,85,82,83,3,2,CB,None,"INTERCEPT,AERIAL,JOCKEY,SLIDE TACKLE,POWER HEADER,LONG BALL PASS,BLOCK",High,High
Sophie Schmidt,53,75,77,78,80,73,83,3,4,"CM,CDM",None,"TECHNICAL,AERIAL,JOCKEY,TRIVELA,LONG BALL PASS,BLOCK",High,Medium
Tabea Sellner,81,80,80,82,28,70,83,3,4,"LM,LW",None,"QUICK STEP,ANTICIPATE,JOCKEY,INCISIVE PASS,WHIPPED PASS",Medium,Low
Luke Shaw,76,57,82,79,81,78,83,3,2,"CB,LB,LWB",None,JOCKEY,Medium,Medium
Christine Sinclair,66,86,83,82,44,82,83,4,5,"ST,CAM,CM",None,"ANTICIPATE,TRIVELA,POWER SHOT,POWER HEADER,FINESSE SHOT",High,Medium
Sherida Spitse,66,76,85,73,79,80,83,3,3,"CDM,CM",DEAD BALL,LONG BALL PASS,Medium,High
Raheem Sterling,85,78,76,85,45,67,83,4,3,"LM,RW,LW,ST",None,"QUICK STEP,RAPID",High,Medium
Ella Toone,81,79,77,85,51,65,83,5,3,"CM,CAM",FLAIR,"TECHNICAL,CHIP SHOT,TRIVELA,TRICKSTER,INCISIVE PASS",High,Medium
Glódís Perla Viggósdóttir,72,54,67,61,86,77,83,2,3,CB,None,"INTERCEPT,LONG BALL PASS,AERIAL",Medium,High
Dušan Vlahović,80,85,66,79,29,82,83,3,3,"ST,CF",None,"FLAIR,CHIP SHOT,FINESSE SHOT",Medium,Medium
Lia Wälti,80,62,77,83,81,76,83,3,4,"CDM,CM",None,"PRESS PROVEN,SLIDE TACKLE,ANTICIPATE",High,High
Lynn Williams,92,82,74,81,46,73,83,4,3,"ST,CF",None,"AERIAL,QUICK STEP,ANTICIPATE,BLOCK,RAPID",High,Medium
André-Franck Zambo Anguissa,78,68,72,81,81,86,83,3,3,"CDM,CM",None,"POWER HEADER,RELENTLESS,TECHNICAL,FLAIR",High,Medium
Piotr Zieliński,81,77,81,86,71,63,83,4,5,"CM,CAM",None,"TRIVELA,TECHNICAL",Medium,Medium
Manuel Akanji,77,48,70,72,83,78,82,2,4,CB,None,SLIDE TACKLE,Medium,Medium
Robert Andrich,57,76,76,73,81,85,82,3,4,"CDM,CM",None,"RELENTLESS,ANTICIPATE,BRUISER,TRIVELA,POWER SHOT",High,High
Joelinton,78,71,76,82,81,88,82,3,3,"CM,LW",None,"BRUISER,PRESS PROVEN",High,High
Ramona Bachmann,71,81,78,83,53,78,82,3,3,"LM,ST,LW",None,"FIRST TOUCH,WHIPPED PASS,TECHNICAL,FINESSE SHOT",High,Medium
Sandy Baltimore,84,70,85,84,64,69,82,3,2,"RM,RW,LW",None,"INCISIVE PASS,TECHNICAL,QUICK STEP,WHIPPED PASS",Medium,Medium
Roberto Firmino,70,77,79,87,58,77,82,5,4,"CF,ST",None,"FIRST TOUCH,INCISIVE PASS,TECHNICAL,FLAIR",High,High
Lineth Beerensteyn,89,79,71,86,52,75,82,4,2,"LM,RW,LW,ST",None,"TECHNICAL,QUICK STEP,FINESSE SHOT",High,High
Rodrigo Bentancur,70,67,81,83,79,77,82,4,4,"CM,CDM",None,"FIRST TOUCH,RELENTLESS",Medium,High
Nicole Billa,82,83,68,82,42,80,82,3,3,"ST,CF",None,"INCISIVE PASS,TECHNICAL,FLAIR",High,Medium
Eduardo Camavinga,79,66,80,82,76,80,82,4,3,"LB,CDM,CM",None,"TECHNICAL,JOCKEY,BRUISER,BLOCK,FLAIR",High,High
Carvajal,82,54,76,79,77,79,82,3,3,"RB,RWB",None,"WHIPPED PASS,BLOCK",Medium,Medium
Alana Cook,54,42,59,61,85,79,82,3,3,CB,None,"INTERCEPT,INCISIVE PASS,LONG BALL PASS,BRUISER",Medium,High
Ángel Correa,85,84,77,86,50,75,82,4,4,"RM,ST,CF",None,"TRIVELA,TECHNICAL,FLAIR",High,Medium
Ana-Maria Crnogorčević,79,79,76,84,72,82,82,3,3,"RM,LB,RW",None,"WHIPPED PASS,BRUISER,TECHNICAL,QUICK STEP",Medium,High
Ricardo Horta,80,83,80,80,43,70,82,3,3,"CF,CAM,ST",None,"FIRST TOUCH,PINGED PASS,POWER SHOT,FINESSE SHOT,TIKI TAKA",High,High
Otávio,78,70,81,85,66,74,82,4,3,"RM,RW,LM",None,"TECHNICAL,RELENTLESS,FIRST TOUCH,PINGED PASS,INCISIVE PASS,FLAIR,TIKI TAKA",High,High
Kenza Dali,72,79,82,85,68,71,82,4,3,"CM,CAM",None,"TECHNICAL,RELENTLESS,FIRST TOUCH,INCISIVE PASS,FLAIR,DEAD BALL",High,Medium
Stefan de Vrij,64,41,64,69,84,76,82,2,3,CB,None,"INTERCEPT,LONG BALL PASS,AERIAL",Medium,High
Boulaye Dia,82,81,62,81,27,77,82,3,3,"ST,LW,CF",None,-,High,Medium
Vanessa DiBernardo,75,76,78,83,65,73,82,4,3,"CM,CDM",None,"INTERCEPT,INCISIVE PASS",Medium,Medium
Federico Dimarco,79,71,80,79,74,71,82,3,2,"CB,LB,LM,LWB",None,WHIPPED PASS,High,Medium
Damaris Egurrola,61,60,81,76,79,78,82,3,3,"CDM,CM",None,"LONG BALL PASS,AERIAL",High,High
Nerea Eizagirre,79,82,79,85,63,66,82,4,3,"CAM,LM,LW",None,"TECHNICAL,FIRST TOUCH,PINGED PASS,TRIVELA,FLAIR,FINESSE SHOT,TIKI TAKA",High,Medium
Youssef En-Nesyri,81,82,63,76,36,79,82,3,3,"ST,CF",None,"AERIAL,QUICK STEP,RELENTLESS,POWER HEADER,RAPID",High,High
Jun Endo,86,77,75,81,45,70,82,4,3,"LM,LW",None,"PRESS PROVEN,TRIVELA,QUICK STEP,RELENTLESS",High,Medium
Ingrid Syrstad Engen,63,62,78,76,82,73,82,3,3,"CDM,CM",None,INTERCEPT,Medium,High
Bethany England,66,84,67,77,40,72,82,3,4,"ST,CF",None,"POWER HEADER,PRESS PROVEN",High,Low
Paula Fernández,77,76,80,79,76,78,82,3,3,"CM,CAM",None,"INTERCEPT,PRESS PROVEN,RELENTLESS,FIRST TOUCH,TIKI TAKA",High,Medium
Seko Fofana,71,77,76,80,73,86,82,4,4,CM,None,"INCISIVE PASS,PRESS PROVEN,POWER SHOT,RELENTLESS",High,High
Javi Galán,81,56,77,83,79,72,82,4,2,"LB,LWB",None,"RAPID,ANTICIPATE",High,Medium
Gabriela García,69,82,78,81,80,84,82,3,3,"CDM,CM",None,"INTERCEPT,AERIAL,RELENTLESS,JOCKEY,POWER HEADER,INCISIVE PASS,TIKI TAKA",High,High
David García,59,37,66,65,83,77,82,2,3,CB,None,"INTERCEPT,POWER HEADER,AERIAL,SLIDE TACKLE",Medium,Medium
Gayà,81,61,77,79,78,74,82,4,3,"LB,LWB",None,"TECHNICAL,ANTICIPATE",High,Medium
Olivier Giroud,43,83,74,74,42,80,82,3,3,"ST,CF",ACROBATIC,"POWER HEADER,AERIAL,TRIVELA",Medium,Medium
Mario Götze,63,75,83,85,55,71,82,4,4,"LM,CF,CAM",None,"TECHNICAL,FIRST TOUCH,INCISIVE PASS,FLAIR,FINESSE SHOT,TIKI TAKA",Medium,Medium
Théa Gréboval,64,58,72,64,83,79,82,2,3,CB,None,"INTERCEPT,AERIAL,JOCKEY,LONG BALL PASS,BLOCK",Medium,Medium
Vincenzo Grifo,71,80,83,81,40,64,82,4,2,"LW,LM,CAM,CF",WHIPPED PASS,"TRIVELA,TECHNICAL,DEAD BALL,FLAIR",Medium,Medium
Raphaël Guerreiro,65,78,85,88,76,55,82,4,2,"LB,LM,LWB,CM",TIKI TAKA,"INTERCEPT,TECHNICAL,FIRST TOUCH,TRIVELA,FLAIR",High,Low
Joško Gvardiol,78,54,69,74,82,83,82,3,4,"CB,LB",BLOCK,"POWER HEADER,JOCKEY,LONG BALL PASS,PINGED PASS",High,High
Chantal Hagel,59,79,78,80,73,78,82,3,3,"LM,CM",None,PRESS PROVEN,High,Medium
Yui Hasegawa,78,71,82,86,78,52,82,4,4,"CDM,CAM,CM",None,"INTERCEPT,TRIVELA,TIKI TAKA,PRESS PROVEN",Medium,Medium
Ashley Hatch,70,84,72,80,46,69,82,4,4,"ST,CAM,CF",None,"INCISIVE PASS,TRIVELA,TECHNICAL",High,Medium
Kai Havertz,78,79,79,83,45,68,82,4,4,"RW,CAM,ST",None,"TECHNICAL,CHIP SHOT,FIRST TOUCH,TRIVELA,FINESSE SHOT",Medium,Medium
Mario Hermoso,75,49,74,71,82,79,82,2,3,CB,None,"AERIAL,LONG BALL PASS,SLIDE TACKLE,BLOCK",Medium,High
Sofia Huerta,80,56,74,78,77,73,82,4,3,"RB,RWB",None,"TECHNICAL,RELENTLESS,PINGED PASS,INCISIVE PASS,WHIPPED PASS",High,Medium
Sofia Jakobsson,81,78,78,80,54,72,82,3,3,"RM,LM,LW",None,"INCISIVE PASS,TECHNICAL,FINESSE SHOT",Medium,Medium
Sveindís Jane Jónsdóttir,92,71,76,81,46,68,82,3,3,"RM,RW,ST",LONG THROW,"QUICK STEP,RAPID",High,Medium
Franck Yannick Kessié,79,76,74,79,81,87,82,3,4,"CDM,CM",None,"POWER SHOT,RELENTLESS",High,High
Presnel Kimpembe,79,43,68,69,81,86,82,2,3,CB,BLOCK,"INTERCEPT,AERIAL",Medium,High
Orkun Kökçü,72,76,83,80,69,79,82,3,5,"CM,CAM",None,"TRIVELA,POWER SHOT,INCISIVE PASS,FINESSE SHOT,DEAD BALL",Medium,Medium
Mateo Kovačić,69,69,82,87,71,70,82,4,4,"CM,CDM",PINGED PASS,"INCISIVE PASS,PRESS PROVEN,FLAIR",High,High
Ali Krieger,72,49,67,72,85,79,82,3,3,CB,None,"WHIPPED PASS,LONG BALL PASS,BRUISER",Medium,High
Robin Le Normand,62,26,54,59,84,79,82,2,3,CB,None,"POWER HEADER,AERIAL,SLIDE TACKLE",Medium,Medium
Thomas Lemar,82,78,83,86,67,65,82,4,3,"LM,CM",None,"JOCKEY,TRIVELA,TECHNICAL,FINESSE SHOT",High,High
Katie Lind,56,43,57,64,86,75,82,2,2,CB,None,-,High,Medium
Manuel Locatelli,67,70,80,78,79,80,82,3,4,"CDM,CM",None,"LONG BALL PASS,RELENTLESS",Medium,High
Sydney Lohmann,71,78,77,81,70,82,82,3,3,"RM,CAM",None,"AERIAL,BLOCK,RAPID",Medium,High
Frida Maanum,66,81,81,80,72,66,82,3,3,"CM,CAM,CDM",None,"RELENTLESS,TRIVELA,POWER SHOT,INCISIVE PASS,PRESS PROVEN",High,High
Alexis Mac Allister,70,79,82,82,70,72,82,3,3,"CM,CAM,CDM",None,"PINGED PASS,INCISIVE PASS,DEAD BALL",Medium,Medium
Hailie Mace,76,57,74,74,81,74,82,3,3,"LB,LM,LWB",None,"INTERCEPT,INCISIVE PASS,PINGED PASS,WHIPPED PASS",High,Medium
Melvine Malard,80,79,78,83,40,66,82,3,4,"LM,ST,LW",None,"ACROBATIC,TRIVELA",Medium,Medium
Donyell Malen,89,80,73,85,35,73,82,4,4,"RM,RW,ST",None,"TECHNICAL,QUICK STEP,FIRST TOUCH,TRIVELA,TRICKSTER,FLAIR",High,Medium
Iñigo Martínez,71,56,67,61,82,80,82,2,3,CB,None,"LONG BALL PASS,SLIDE TACKLE",Medium,Medium
Joselu,63,84,69,74,33,77,82,3,3,"ST,CF",POWER HEADER,"AERIAL,POWER SHOT",High,Medium
Noussair Mazraoui,79,66,77,83,77,74,82,3,3,"RB,RWB",None,"TECHNICAL,JOCKEY,SLIDE TACKLE,FLAIR",High,Low
Ferland Mendy,92,64,76,77,77,86,82,4,5,"LB,LWB",None,"BLOCK,FLAIR,RAPID",High,High
Nahuel Molina,85,67,76,79,78,71,82,3,3,"RM,RB,RWB",None,"WHIPPED PASS,BLOCK",High,High
Perle Morroni,81,45,75,77,79,67,82,3,2,"LB,LWB",None,QUICK STEP,Medium,Medium
João Mário,70,79,81,83,69,70,82,3,4,"RM,RW,LM,CM",None,"INCISIVE PASS,TECHNICAL,FIRST TOUCH",Medium,Medium
Darwin Núñez,90,81,71,76,43,85,82,3,3,"ST,LW,CF",None,"QUICK STEP,RAPID",High,High
Loïs Openda,93,79,68,80,31,78,82,3,4,"ST,CF",None,"QUICK STEP,TRIVELA,RAPID,FINESSE SHOT",High,Medium
Nicolás Otamendi,64,57,64,59,83,85,82,2,3,CB,None,"INTERCEPT,AERIAL,JOCKEY,BRUISER,SLIDE TACKLE,POWER HEADER",Medium,High
Leila Ouahabi,75,52,71,72,81,73,82,3,3,"LB,LWB",None,JOCKEY,High,Medium
Isi Palazón,84,79,79,82,39,64,82,3,3,"RM,RW",None,"FIRST TOUCH,RAPID",High,Medium
Tanja Pawollek,56,76,77,79,78,77,82,3,4,"CM,CDM",None,"AERIAL,LONG BALL PASS,PRESS PROVEN",Medium,High
Pedro Gonçalves,76,82,81,84,58,66,82,4,4,"LM,RW,LW,CM",None,"TECHNICAL,INCISIVE PASS,WHIPPED PASS,FINESSE SHOT,FLAIR,TIKI TAKA,DEAD BALL",High,Medium
Ève Périsset,76,52,79,76,79,71,82,3,3,"RB,LB,CB,RWB",None,"JOCKEY,WHIPPED PASS,ANTICIPATE",High,Medium
Carson Pickett,86,54,74,72,79,76,82,3,4,"LB,LWB",None,"INTERCEPT,WHIPPED PASS,QUICK STEP,RELENTLESS",High,Medium
Alba Redondo,83,82,70,83,26,64,82,4,3,"RW,ST,LW,CF",None,"TECHNICAL,QUICK STEP,RELENTLESS,AERIAL,FIRST TOUCH,FINESSE SHOT",High,Low
Fernando,63,62,74,73,82,81,82,3,3,"CB,CDM",None,"INTERCEPT,SLIDE TACKLE",Medium,Medium
Rocky Rodríguez,58,77,79,80,76,84,82,3,4,"CAM,CM,CDM",None,"LONG BALL PASS,POWER SHOT",Medium,Medium
